.com,http://example.com,<Response [200]>
.org,http://example.org,<Response [200]>
.net,http://example.net,<Response [200]>
.int,http://example.int,"HTTPConnectionPool(host='example.int', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BBB9E312D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
.edu,http://example.edu,<Response [200]>
.gov,http://example.gov,"HTTPConnectionPool(host='example.gov', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BBB9E31C60>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
.mil,http://example.mil,"HTTPConnectionPool(host='example.mil', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BBB9E31210>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
.arpa,http://example.arpa,"HTTPConnectionPool(host='example.arpa', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BBB9E31B40>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
.academy,http://example.academy,"HTTPConnectionPool(host='example.academy', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BBB9E31BD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
.accountant,http://example.accountant,"HTTPConnectionPool(host='example.accountant', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BBB9E31630>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
.accountants,http://example.accountants,"HTTPConnectionPool(host='example.accountants', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BBB9E316F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
.active,http://example.active,"HTTPConnectionPool(host='example.active', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BBB9E31AE0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
.actor,http://example.actor,"HTTPConnectionPool(host='example.actor', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BBB9E31AB0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
.ads,http://example.ads,"HTTPConnectionPool(host='example.ads', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BBB9E317E0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
